Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
JAMBI, MUARO JAMBI,KUMPEH ULU,KASANG PUDAK,TPS 010,255,263,31,153,41,https://sirekap-obj-formc.kpu.go.id/49ce/pemilu/ppwp/15/05/06/20/05/1505062005010-20240214-185824--79263c6e-804e-47a8-9431-3d6555eff6ad.jpg
JAMBI, MUARO JAMBI,MESTONG,BARU,TPS 007,178,186,0,0,0,https://sirekap-obj-formc.kpu.go.id/12d2/pemilu/ppwp/15/05/05/20/10/1505052010007-20240217-122443--36bd9527-cefd-4d36-94a4-929425134856.jpg
JAMBI, MUARO JAMBI,SEKERNAN,BUKIT BALING,TPS 011,163,165,90,104,9,https://sirekap-obj-formc.kpu.go.id/557c/pemilu/ppwp/15/05/02/20/13/1505022013011-20240215-010516--5a446ecc-5ef0-4895-84d4-84838c960e12.jpg
JAMBI, MUARO JAMBI,SEKERNAN,RANTAU MAJO,TPS 001,258,260,24,277,4,https://sirekap-obj-formc.kpu.go.id/7973/pemilu/ppwp/15/05/02/20/02/1505022002001-20240216-134759--1812b915-37df-458b-9ea7-fc2e3cf43618.jpg
JAMBI, MUARO JAMBI,SEKERNAN,SUKO AWIN JAYA,TPS 019,148,153,23,106,14,https://sirekap-obj-formc.kpu.go.id/f844/pemilu/ppwp/15/05/02/20/15/1505022015019-20240214-184952--b3e3cf9b-0478-4e3f-bee5-99362672e955.jpg
JAMBI, MUARO JAMBI,SEKERNAN,TANJUNG LANJUT,TPS 001,186,188,25,156,4,https://sirekap-obj-formc.kpu.go.id/130c/pemilu/ppwp/15/05/02/20/14/1505022014001-20240215-030914--c70ed81e-7cd2-400d-8f65-813594419322.jpg
JAMBI, MUARO JAMBI,SUNGAI BAHAR,BERKAH,TPS 002,250,255,34,176,49,https://sirekap-obj-formc.kpu.go.id/93a4/pemilu/ppwp/15/05/07/20/13/1505072013002-20240217-101745--bc4bd1ce-2726-4317-9872-c9ca75c80957.jpg
JAMBI, MUARO JAMBI,SUNGAI BAHAR,MARGA MULYA,TPS 008,809,814,28,163,18,https://sirekap-obj-formc.kpu.go.id/4627/pemilu/ppwp/15/05/07/20/05/1505072005008-20240217-154555--ce33aa86-30fb-4479-85ab-60278e0c4548.jpg
JAMBI, MUARO JAMBI,SUNGAI BAHAR,PANCA BAKTI,TPS 006,156,157,22,808,26,https://sirekap-obj-formc.kpu.go.id/95e6/pemilu/ppwp/15/05/07/20/34/1505072034006-20240217-100754--10193a14-b0d8-4f00-9955-4297faca6194.jpg
JAMBI, MUARO JAMBI,SUNGAI GELAM,MEKAR JAYA,TPS 015,185,189,0,0,0,https://sirekap-obj-formc.kpu.go.id/54f8/pemilu/ppwp/15/05/08/20/13/1505082013015-20240217-153325--e2a6966f-e4e4-4027-9c0d-ab496ea0876b.jpg
JAMBI, MUARO JAMBI,TAMAN RAJO,TALANG DUKU,TPS 012,193,206,0,0,0,https://sirekap-obj-formc.kpu.go.id/2f38/pemilu/ppwp/15/05/11/20/02/1505112002012-20240217-150222--5bb51ff3-3a60-44b9-b3d0-745df4352053.jpg
JAMBI,BATANGHARI,BAJUBANG,BAJUBANG,TPS 011,154,156,42,80,30,https://sirekap-obj-formc.kpu.go.id/6088/pemilu/ppwp/15/04/07/10/04/1504071004011-20240214-234943--005cc3ff-db1e-4d67-971e-6f1d9f432f24.jpg
JAMBI,BATANGHARI,BAJUBANG,LADANG PERIS,TPS 003,0,0,18,165,64,https://sirekap-obj-formc.kpu.go.id/2762/pemilu/ppwp/15/04/07/20/03/1504072003003-20240215-031901--93ad7f99-928d-4563-8ffa-f08ba964538e.jpg
JAMBI,BATANGHARI,BAJUBANG,PENEROKAN,TPS 002,249,251,29,43,77,https://sirekap-obj-formc.kpu.go.id/b12b/pemilu/ppwp/15/04/07/20/05/1504072005002-20240215-172842--15c0519c-728b-4c71-95db-d4b69acad657.jpg
JAMBI,BATANGHARI,BATIN XXIV,AUR GADING,TPS 003,191,200,77,147,11,https://sirekap-obj-formc.kpu.go.id/1fa4/pemilu/ppwp/15/04/04/20/04/1504042004003-20240217-190321--247ca8a3-48a3-419b-87e5-8f58dc22a417.jpg
